trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
123,0,123,0,10,254.64208289999806,254.64208289999806,254.64208289999806,[0.12129629629629629],[-0.47962962962962963],[1],[0],[0],[1.3439546000008704],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
124,0,124,0,10,256.0609187999944,256.0609187999944,256.0609187999944,[0.16203703703703703],[-0.412962962962963],[1],[0],[0],[0.8291157000057865],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
125,0,125,0,10,256.9814348999935,256.9814348999935,256.9814348999935,[0.4564814814814815],[0.2851851851851852],[1],[0],[0],[1.8426743000018178],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
126,0,126,0,5,258.91756849999365,258.91756849999365,258.91756849999365,[-0.1111111111111111],[0.225],[1],[0],[0],[1.5144157000031555],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
127,0,127,0,5,260.4849480999983,260.4849480999983,260.4849480999983,[0.26851851851851855],[0.48518518518518516],[1],[0],[0],[2.248696499998914],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
128,0,128,0,10,262.90402780000295,262.90402780000295,262.90402780000295,[-0.4527777777777778],[-0.05462962962962963],[1],[0],[0],[3.2004544000083115],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
129,0,129,0,5,266.12323789999937,266.12323789999937,266.12323789999937,[0.18611111111111112],[0.017592592592592594],[1],[0],[0],[1.6925209000037285],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
130,0,130,0,10,267.9136686999991,267.9136686999991,267.9136686999991,[0.18611111111111112],[0.017592592592592594],[1],[0],[0],[0.5644162000098731],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
131,0,131,0,10,268.5840930999984,268.5840930999984,268.5840930999984,[-0.38981481481481484],[0.2814814814814815],[1],[0],[0],[2.4392996999958996],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
132,0,132,0,10,271.09622160000436,271.09622160000436,271.09622160000436,[-0.20833333333333334],[-0.14907407407407408],[1],[0],[0],[2.1543416999920737],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
