trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
93,0,93,0,5,215.11923750001006,215.11923750001006,215.11923750001006,[-0.22962962962962963],[0.32222222222222224],[1],[0],[0],[1.5249273000081303],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
94,0,94,0,5,216.66775930000586,216.66775930000586,216.66775930000586,[0.2833333333333333],[-0.25925925925925924],[1],[0],[0],[2.049900500001968],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
95,0,95,0,10,218.85480080000707,218.85480080000707,218.85480080000707,[0.24166666666666667],[-0.262037037037037],[1],[0],[0],[1.34642139999778],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
96,0,96,0,10,220.28091359999962,220.28091359999962,220.28091359999962,[-0.2212962962962963],[-0.48333333333333334],[1],[0],[0],[1.9194145999936154],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
97,0,97,0,10,222.28277990000788,222.28277990000788,222.28277990000788,[-0.37407407407407406],[-0.15185185185185185],[1],[0],[0],[2.4540852999925846],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
98,0,98,0,10,224.7873574000114,224.7873574000114,224.7873574000114,[-0.26666666666666666],[0.14444444444444443],[1],[0],[0],[1.1400608000112697],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
99,0,99,0,10,226.01942290000443,226.01942290000443,226.01942290000443,[-0.20925925925925926],[0.3712962962962963],[1],[0],[0],[1.7193320999940624],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
100,0,100,0,10,227.82791970000835,227.82791970000835,227.82791970000835,[0.5064814814814815],[-0.2537037037037037],[1],[0],[0],[2.412066100005177],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
101,0,101,0,5,230.26454920000106,230.26454920000106,230.26454920000106,[0.3314814814814815],[-0.12407407407407407],[1],[0],[0],[1.3130965999880573],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
102,0,102,0,10,231.70832610000798,231.70832610000798,231.70832610000798,[-0.32222222222222224],[-0.30462962962962964],[1],[0],[0],[1.563461899990216],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
103,0,103,0,10,233.38303470000392,233.38303470000392,233.38303470000392,[-0.19814814814814816],[0.06759259259259259],[1],[0],[0],[1.5502684999955818],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
104,0,104,0,10,235.02840220001235,235.02840220001235,235.02840220001235,[0.05925925925925926],[0.1287037037037037],[1],[0],[0],[1.9425124999979744],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
