trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
35,0,35,0,5,329.1711481999955,329.1711481999955,329.1711481999955,[-0.16111111111111112],[-0.10462962962962963],[1],[0],[0],[1.242964100005338],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
36,0,36,0,5,330.46969250000257,330.46969250000257,330.46969250000257,[0.2175925925925926],[0.362962962962963],[1],[0],[0],[1.6082886999938637],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
37,0,37,0,10,332.196354300002,332.196354300002,332.196354300002,[0.2675925925925926],[-0.13425925925925927],[1],[0],[0],[1.6640305999899283],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
38,0,38,0,5,333.88810569999623,333.88810569999623,333.88810569999623,[0.3768518518518518],[0.3685185185185185],[1],[0],[0],[1.6331258999998681],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
39,0,39,0,10,335.5942028999998,335.5942028999998,335.5942028999998,[-0.2675925925925926],[-0.175],[1],[0],[0],[1.8214680000091903],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
40,0,40,0,5,337.4563635999948,337.4563635999948,337.4563635999948,[0.2351851851851852],[-0.125],[1],[0],[0],[1.7715239000099245],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
41,0,41,0,5,339.28412209999806,339.28412209999806,339.28412209999806,[-0.32037037037037036],[0.10462962962962963],[1],[0],[0],[1.4150072999909753],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
42,0,42,0,10,340.7995693999983,340.7995693999983,340.7995693999983,[-0.36944444444444446],[-0.10555555555555556],[1],[0],[0],[1.213971599994693],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
43,0,43,0,10,342.0791363999888,342.0791363999888,342.0791363999888,[-0.2351851851851852],[0.41388888888888886],[1],[0],[0],[1.5317548000020906],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
44,0,44,0,10,343.69041379999544,343.69041379999544,343.69041379999544,[-0.46111111111111114],[-0.34444444444444444],[1],[0],[0],[2.1790110000001732],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
45,0,45,0,10,345.99905020000006,345.99905020000006,345.99905020000006,[-0.20185185185185187],[0.4861111111111111],[1],[0],[0],[5.098884900013218],[],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
46,0,46,0,5,351.1125114000024,351.1125114000024,351.1125114000024,[0.37037037037037035],[0.03148148148148148],[1],[0],[0],[1.4705020999972476],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
47,0,47,0,10,352.7318446999998,352.7318446999998,352.7318446999998,[0.4861111111111111],[-0.45555555555555555],[1],[0],[0],[2.1632448000018485],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
48,0,48,0,5,354.93065149999165,354.93065149999165,354.93065149999165,[0.11851851851851852],[-0.3990740740740741],[1],[0],[0],[1.8414401000045473],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
49,0,49,0,5,356.81385130000126,356.81385130000126,356.81385130000126,[0.2462962962962963],[0.25],[1],[0],[0],[1.5762573999963934],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
50,0,50,0,10,358.4697759999981,358.4697759999981,358.4697759999981,[0.48333333333333334],[0.38981481481481484],[1],[0],[0],[1.8894617000041762],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
51,0,51,0,5,360.41917999999714,360.41917999999714,360.41917999999714,[0.1398148148148148],[0.43796296296296294],[1],[0],[0],[1.518894900000305],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
52,0,52,0,5,362.0072444999969,362.0072444999969,362.0072444999969,[0.10185185185185185],[0.1787037037037037],[1],[0],[0],[1.3763208000018494],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
53,0,53,0,5,363.4216766999889,363.4216766999889,363.4216766999889,[-0.45555555555555555],[0.22592592592592592],[1],[0],[0],[1.5410842999990564],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
54,0,54,0,5,365.0099881999922,365.0099881999922,365.0099881999922,[0.2638888888888889],[-0.19166666666666668],[1],[0],[0],[2.074516599997878],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
55,0,55,0,5,367.13327639999625,367.13327639999625,367.13327639999625,[-0.007407407407407408],[0.04537037037037037],[1],[0],[0],[1.7690641000081087],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
56,0,56,0,5,368.96146690000023,368.96146690000023,368.96146690000023,[-0.12777777777777777],[0.1388888888888889],[1],[0],[0],[1.5646533999970416],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
57,0,57,0,5,370.5955102000007,370.5955102000007,370.5955102000007,[0.01574074074074074],[-0.3287037037037037],[1],[0],[0],[1.9870786999963457],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
